FSscore,KHscore,PPHHSIZE,PPINCIMP,SAVINGSRANGES,agecat,PPEDUC,EMPLOY,FWBscore
59,-0.909,2,6,3,3,3,2,44
8,1.267,5,3,1,2,3,2,21
58,-0.909,3,1,1,2,2,6,23
39,0.242,2,7,6,6,4,8,43
39,0.242,5,7,1,2,2,7,27
50,0.242,1,9,7,8,4,1,72
50,0.242,1,7,7,6,5,2,75
51,0.242,2,2,2,8,2,8,34
46,0.712,2,8,5,6,5,8,59
69,0.712,4,1,5,2,2,3,78
62,0.712,2,9,7,4,5,1,79
42,0.712,1,4,5,4,4,2,51
55,-1.713,2,1,2,2,3,2,49
64,-0.188,2,9,7,3,5,2,61
52,1.267,2,7,7,8,5,8,81
44,0.712,1,6,4,4,3,2,56
55,-0.909,3,5,6,2,4,3,71
50,0.242,1,7,3,7,4,8,39
77,-0.909,4,1,2,2,3,6,34
53,-0.909,1,3,3,8,1,3,63
57,0.712,2,7,7,8,5,8,76
49,0.242,2,4,5,6,3,8,53
64,1.267,3,9,5,2,5,2,75
70,0.242,2,9,7,5,3,2,86
37,-0.57,3,1,1,2,2,4,41
59,0.712,5,2,6,6,5,7,33
56,1.267,5,9,7,3,5,2,57
49,0.712,2,4,7,8,4,8,75
53,-0.57,2,4,3,4,3,1,32
36,-0.57,1,6,4,5,2,3,52
75,0.712,2,3,7,6,2,8,95
82,-0.188,5,1,1,5,3,6,40
52,-0.188,5,6,3,1,2,1,49
57,0.712,1,4,3,5,5,2,49
45,0.242,2,6,4,2,5,2,32
38,-0.909,2,1,1,2,3,3,21
75,1.267,2,9,5,8,5,8,86
44,-0.57,2,5,1,2,1,4,61
55,0.242,2,7,7,8,3,1,75
37,-0.188,1,5,4,3,3,2,31
67,0.712,3,5,7,8,4,8,77
45,-0.188,1,8,6,5,2,1,65
56,1.267,5,5,5,2,5,4,61
43,0.712,2,7,4,2,5,2,43
61,-1.215,2,6,7,4,2,4,60
28,-0.909,3,3,3,5,2,2,54
42,0.712,4,8,5,4,4,2,49
53,0.242,5,9,5,3,4,2,60
55,1.267,3,9,5,3,4,2,66
38,-0.188,5,8,4,2,5,2,46
63,0.242,4,7,6,3,5,3,68
49,0.712,1,9,6,4,4,2,58
48,0.712,1,6,5,6,4,8,74
68,-0.188,4,8,6,5,4,8,64
68,-0.909,4,7,6,2,3,4,74
38,-0.188,2,3,4,6,2,8,53
54,0.712,1,4,6,2,3,2,63
45,0.242,1,4,4,4,3,2,24
55,0.712,1,9,5,2,5,2,61
46,-0.188,2,7,4,8,3,8,49
44,-0.188,2,7,6,6,5,8,60
34,0.712,1,8,3,8,3,8,30
40,-1.215,2,8,2,3,3,7,49
55,-0.909,5,7,5,1,2,5,53
55,-0.57,1,1,4,2,3,5,30
82,0.712,2,7,7,5,2,8,71
52,0.712,2,9,4,6,3,2,57
53,-0.188,2,3,5,8,3,8,73
39,-0.57,2,5,4,2,3,2,50
44,0.242,2,3,2,2,4,2,26
47,-1.713,3,1,3,1,2,3,55
68,-0.57,3,9,5,4,3,2,53
60,1.267,2,8,6,5,5,2,51
50,-1.485,1,1,3,6,2,6,54
44,0.242,2,9,3,2,3,2,46
46,-1.215,2,9,6,7,3,8,73
56,0.242,4,9,6,3,4,1,67
54,0.712,2,8,6,6,4,8,58
45,0.712,3,9,6,3,4,2,65
55,0.242,4,9,5,5,2,2,54
38,-0.909,2,1,1,3,2,7,29
41,0.712,2,8,6,7,3,8,49
54,0.712,1,6,3,3,3,2,42
47,-0.188,2,3,4,8,1,8,42
45,0.242,4,7,2,2,4,5,38
53,-0.57,1,3,4,2,3,3,45
56,0.242,5,7,4,3,3,2,64
59,1.267,2,8,6,8,4,8,71
57,1.267,2,9,7,7,4,8,90
48,-0.57,1,6,3,4,2,2,59
85,-0.57,2,8,7,7,5,8,82
39,-0.57,3,3,3,2,4,2,52
38,-0.57,2,5,6,8,2,8,76
85,1.267,1,8,7,6,4,8,95
65,0.712,5,8,6,2,5,3,70
48,-1.485,4,8,3,2,3,2,43
33,0.242,3,7,5,2,4,3,50
62,1.267,2,8,6,8,5,8,77
63,0.712,2,4,6,6,3,8,60
51,-0.188,3,6,4,4,5,1,42
56,-0.188,2,7,3,5,4,8,58
39,-0.909,3,2,2,3,2,1,45
49,0.712,2,5,7,7,3,8,72
48,-0.909,2,9,5,5,2,2,50
67,-0.188,1,8,6,8,5,8,78
55,0.712,2,7,7,7,3,8,69
42,-0.188,1,5,5,2,3,2,62
35,-0.57,3,5,2,3,3,2,41
60,1.267,2,7,4,8,5,8,60
49,0.712,1,2,3,8,3,8,47
54,1.267,2,5,7,7,4,8,59
45,-0.188,2,7,4,2,3,2,49
47,-0.188,3,6,3,4,1,2,53
50,0.242,2,9,5,2,4,5,51
35,-1.215,2,5,2,2,5,2,16
52,0.712,1,5,7,7,3,8,68
36,-0.909,3,8,4,4,2,2,50
59,1.267,2,7,7,7,5,8,65
65,1.267,2,8,7,6,4,8,69
50,0.242,2,5,5,5,2,8,56
56,0.712,2,9,7,7,4,8,76
41,-0.57,2,5,3,5,1,1,52
54,-0.909,3,7,5,2,4,2,63
51,-0.188,2,6,4,2,3,2,60
55,0.712,2,9,5,5,4,2,62
56,-0.909,2,7,6,8,3,8,64
57,1.267,2,8,6,4,4,2,63
71,-0.188,2,1,6,1,3,5,41
60,-0.57,2,7,1,6,5,1,40
56,0.242,5,9,7,6,5,2,95
58,0.242,2,4,3,2,4,3,40
45,-0.188,2,9,4,3,4,1,64
73,0.712,5,9,7,3,4,2,72
44,0.242,2,3,7,8,4,8,72
55,-0.188,2,2,7,8,2,3,63
52,1.267,2,8,5,5,5,1,46
47,0.712,2,3,4,6,2,8,53
51,0.712,2,7,7,6,5,8,70
76,0.242,1,9,7,5,5,2,78
51,1.267,2,4,7,8,2,8,64
55,0.242,5,7,4,2,5,4,55
52,0.712,2,7,6,6,5,8,62
60,1.267,2,8,6,4,5,2,64
65,-0.188,2,3,3,2,5,7,48
68,0.712,2,9,7,7,5,1,75
48,0.712,5,8,4,4,4,2,43
51,0.712,2,8,5,8,4,8,57
42,-0.57,5,3,7,4,3,7,50
56,-1.713,5,3,2,3,3,2,42
59,0.712,2,9,6,4,3,2,57
36,-1.485,5,1,1,2,2,4,25
50,1.267,2,8,7,6,4,2,80
63,0.242,2,2,7,6,3,8,71
51,0.712,3,8,7,8,3,8,73
50,0.242,2,6,5,6,4,7,59
42,0.242,5,3,6,3,5,2,43
57,0.712,5,7,4,3,3,2,56
49,0.242,2,7,5,8,5,8,50
38,-0.909,2,2,4,6,4,8,47
57,0.242,2,6,7,6,3,7,57
42,-0.57,3,1,1,2,2,5,48
42,-1.485,5,6,2,3,2,2,46
56,0.712,2,8,7,6,3,8,67
49,0.712,4,6,5,6,3,8,62
9,-0.909,2,2,2,2,3,2,40
58,1.267,2,9,5,3,4,2,77
52,0.712,1,6,5,7,2,8,62
57,1.267,4,8,5,4,2,2,63
69,0.712,2,9,6,5,4,8,71
57,-0.188,2,2,3,4,3,4,48
45,-0.57,2,7,4,4,4,2,44
51,-0.188,3,9,7,5,5,8,56
42,-0.57,3,9,6,4,4,3,70
50,0.712,3,5,2,1,3,5,46
43,-0.188,3,5,3,4,2,4,39
54,0.712,1,7,6,5,4,2,58
55,0.242,2,6,7,7,3,8,53
55,0.242,2,9,7,8,4,4,58
47,0.242,3,3,1,1,2,6,22
34,0.712,2,7,6,6,2,1,43
33,-0.909,5,4,1,2,3,2,36
64,0.242,5,6,4,2,3,8,65
53,0.712,2,8,6,8,4,8,64
57,-0.909,2,2,7,8,3,8,63
44,1.267,1,3,5,8,3,8,57
48,0.242,1,8,6,6,2,8,56
85,0.712,1,8,7,8,3,8,95
21,0.712,2,2,2,6,1,6,26
62,0.242,2,7,6,8,5,8,73
33,-0.57,5,1,1,2,2,4,21
51,0.242,2,6,6,8,3,8,63
51,-0.57,1,7,7,8,2,8,61
54,-0.188,3,8,7,6,2,8,61
48,1.267,5,3,3,7,3,7,41
39,0.712,1,4,5,8,4,8,52
54,1.267,2,8,5,7,5,8,51
67,0.712,2,7,6,3,3,4,64
47,-1.485,3,3,4,5,1,2,58
60,-0.188,1,6,6,2,3,2,76
42,0.242,1,6,5,3,4,2,60
52,0.712,2,2,3,6,3,4,56
55,-0.57,2,6,5,6,2,8,66
41,0.712,2,6,3,4,4,6,36
54,0.242,2,2,5,6,3,8,62
42,-0.909,1,2,4,8,2,8,49
85,0.242,2,4,7,6,3,8,80
40,0.712,3,9,7,3,4,2,49
46,0.242,2,7,7,7,2,8,70
38,0.712,2,6,4,4,3,2,18
44,-0.188,3,7,2,3,3,2,48
43,0.242,2,6,3,2,3,2,49
70,0.242,3,9,6,5,4,2,67
45,-0.188,1,2,5,7,3,8,68
27,-0.57,2,8,2,4,3,2,42
65,1.267,3,8,5,5,3,2,76
56,0.712,2,7,7,6,3,2,60
58,0.242,1,4,4,7,5,8,69
47,0.242,4,8,5,3,5,4,61
35,-0.188,1,7,4,3,5,2,43
55,0.242,2,5,4,8,3,8,58
51,1.267,5,8,5,4,4,2,57
55,0.242,5,5,4,7,5,8,56
28,-0.909,2,6,2,2,3,2,37
60,1.267,2,9,7,6,5,8,77
55,0.242,2,3,4,7,4,8,53
64,0.712,3,7,5,2,4,2,66
44,-0.188,2,6,5,6,2,8,59
57,0.712,2,9,7,5,4,1,68
55,0.712,3,6,3,3,4,2,56
37,0.712,2,2,3,7,3,8,33
42,-1.485,2,9,6,4,5,1,60
53,0.712,5,7,4,5,4,2,42
58,0.712,2,7,6,5,2,1,64
44,-0.909,2,1,3,8,2,8,64
55,1.267,2,9,7,6,5,8,80
48,1.267,3,4,4,6,3,3,49
75,-0.57,1,1,5,1,3,2,54
53,0.712,1,6,7,6,3,8,62
52,-0.188,2,3,4,4,2,1,34
78,-0.57,4,7,2,1,2,2,52
52,0.712,5,7,3,5,4,2,43
43,-0.188,2,8,6,4,3,3,58
50,0.242,2,1,5,8,2,8,62
55,1.267,4,9,7,4,5,2,50
61,1.267,4,9,7,5,3,8,75
48,-0.188,3,4,6,5,2,2,45
58,-0.188,2,7,4,7,5,8,49
42,0.712,1,1,3,4,3,1,24
22,-1.215,1,1,1,7,2,8,39
38,-0.57,2,5,3,4,4,2,40
55,0.242,2,8,5,7,3,8,63
69,-0.57,2,8,5,6,5,8,60
57,0.242,3,9,5,4,5,1,61
37,-0.57,3,7,1,6,4,8,48
54,-0.188,2,4,7,8,3,4,56
50,-0.909,2,5,4,8,3,8,50
41,-0.188,2,4,3,6,3,8,45
43,0.712,2,5,7,5,2,3,59
47,-0.57,2,1,1,4,2,6,51
53,-1.485,5,1,1,1,2,2,58
53,-0.188,2,7,5,4,2,2,53
43,-0.188,1,5,6,5,2,8,47
37,-0.188,2,8,5,2,4,2,54
85,1.267,2,8,7,4,4,2,72
79,1.267,2,9,7,5,4,2,79
52,-0.57,2,5,6,5,3,8,69
46,0.242,3,7,5,4,2,1,55
50,0.712,5,2,3,1,2,3,49
42,-1.485,5,7,1,1,2,2,51
52,0.712,2,9,6,7,5,8,77
49,0.242,5,2,1,3,2,4,36
52,0.712,2,9,7,8,4,8,85
61,0.712,5,7,5,3,4,4,62
49,0.712,2,9,6,4,4,1,62
57,-0.57,1,9,7,4,1,1,79
56,0.242,2,8,4,3,4,2,59
51,1.267,2,8,7,6,4,8,64
54,-0.188,5,6,4,2,3,7,43
56,-0.188,2,6,2,4,2,2,46
44,-0.57,2,8,7,6,2,8,77
52,0.712,2,6,6,7,3,8,79
37,0.242,2,6,4,5,5,2,38
53,0.712,2,3,4,3,3,1,52
53,-0.909,5,4,6,2,3,4,65
68,0.712,2,4,4,8,3,8,67
42,-0.57,2,6,5,8,3,8,61
67,0.712,2,8,6,2,4,2,67
50,0.242,2,2,3,1,3,5,45
63,-0.188,1,3,4,5,2,2,62
56,-0.188,5,8,5,3,3,4,58
61,-0.188,3,4,2,2,3,7,21
44,1.267,4,9,5,4,3,2,56
42,-1.485,1,1,1,2,1,1,40
52,-2.053,5,6,6,3,2,4,58
52,1.267,2,9,7,6,4,8,95
32,-0.188,3,7,4,2,5,2,46
69,1.267,2,7,7,5,3,8,59
43,-1.485,5,8,1,3,2,2,57
52,1.267,2,7,6,6,5,3,59
53,1.267,1,5,5,8,4,8,64
60,0.712,2,2,4,7,3,8,55
44,0.242,2,8,4,5,3,7,56
40,-0.188,3,1,1,1,3,5,36
69,0.242,1,6,6,4,5,2,65
49,0.712,3,6,3,2,4,2,49
64,0.712,5,9,4,3,5,2,70
60,1.267,2,7,7,8,5,8,62
42,-1.485,2,1,4,1,3,3,56
67,1.267,2,8,6,6,2,1,84
47,0.712,1,7,6,6,5,8,53
46,0.242,2,3,5,3,3,2,54
59,1.267,5,7,6,1,3,5,46
61,0.712,2,6,7,8,2,8,66
47,0.712,1,3,5,7,3,8,51
58,1.267,2,9,7,5,4,2,80
39,0.712,2,5,2,5,4,2,49
45,-0.909,1,6,4,5,3,2,48
45,-0.188,2,7,2,6,2,8,63
57,1.267,1,7,7,7,4,6,75
41,-0.57,3,7,3,2,2,2,36
48,-1.485,5,7,1,2,2,2,52
48,-0.909,4,6,5,5,3,2,57
46,0.712,2,8,3,4,5,2,50
44,-0.188,3,5,4,4,3,2,52
50,-0.57,5,5,5,3,3,1,52
77,1.267,2,2,5,6,5,8,69
66,-0.188,2,6,5,2,4,2,75
42,0.712,2,8,5,8,4,8,59
58,-1.713,2,6,6,8,2,8,60
85,-0.909,2,3,1,4,3,6,86
55,0.712,1,5,6,8,3,8,59
41,0.712,4,7,4,6,3,6,44
73,-1.713,2,2,6,2,2,3,46
48,0.242,4,7,3,2,4,2,32
56,0.712,2,5,7,8,2,8,75
39,0.242,1,2,4,6,2,8,46
63,0.712,5,2,4,1,4,5,70
45,-0.909,3,1,1,1,2,7,34
41,-1.215,2,2,3,5,2,3,49
48,0.712,1,8,5,6,5,2,69
50,0.712,2,3,3,6,5,1,47
55,-0.57,3,7,3,2,2,2,44
51,1.267,2,7,6,7,3,8,57
85,1.267,1,7,6,5,2,2,64
46,-1.215,1,6,2,2,3,1,49
68,0.242,2,5,6,6,5,8,65
23,-1.713,2,1,1,4,1,6,39
61,0.242,2,6,6,6,4,8,76
56,0.712,3,9,5,1,3,2,63
44,-0.57,4,5,4,1,2,3,47
30,-0.909,3,2,4,2,2,7,33
57,1.267,2,7,6,6,3,8,71
57,0.242,2,7,4,6,4,2,59
41,-1.215,2,1,1,5,1,7,44
82,0.242,4,8,4,1,3,5,57
62,0.242,1,2,4,7,2,3,57
53,0.242,2,8,7,8,5,8,88
58,1.267,2,9,7,6,4,1,59
71,0.242,5,7,6,3,4,2,71
75,0.242,4,8,5,4,2,2,79
42,-0.57,1,1,1,6,2,6,47
51,0.712,2,9,4,4,3,2,73
62,-0.57,2,2,3,4,2,2,30
63,0.712,2,9,7,6,5,8,73
59,1.267,2,8,7,5,4,2,82
55,-0.188,2,3,7,7,3,8,71
57,-0.188,5,9,5,6,3,2,72
35,-1.215,2,5,5,6,3,1,54
59,-0.57,4,6,4,3,4,2,50
53,0.242,5,8,6,2,3,2,63
71,1.267,2,9,7,6,3,8,88
54,-0.57,2,7,6,8,2,8,54
49,-0.188,3,7,3,2,2,7,62
46,0.712,3,7,6,4,4,7,54
48,-0.188,4,3,4,4,1,2,58
61,0.712,1,7,6,2,4,2,56
56,0.712,2,8,6,8,5,8,63
45,1.267,3,9,7,7,3,8,67
42,-0.188,1,3,4,5,3,8,53
64,-0.188,4,9,6,2,5,2,66
60,0.242,2,8,7,5,5,2,73
41,0.242,2,7,5,7,2,8,65
40,0.712,3,8,4,1,3,5,43
49,-1.215,1,4,6,5,4,2,67
53,0.242,5,9,6,3,5,2,64
85,-0.57,2,9,6,7,2,8,95
48,-0.909,5,5,1,2,2,2,40
57,-1.215,3,8,7,2,2,2,62
43,0.242,4,8,5,2,4,3,55
53,1.267,1,6,7,6,5,8,65
61,0.242,1,4,7,7,3,8,82
42,0.712,3,7,4,4,3,2,49
37,0.242,3,8,2,1,3,5,33
82,0.712,2,8,7,7,3,1,81
72,-1.215,4,6,4,3,1,4,77
49,-0.188,2,5,5,7,2,3,43
39,-0.909,1,8,5,3,5,2,45
51,0.712,2,2,6,4,2,2,64
57,-0.909,2,3,6,6,2,8,75
45,-0.909,3,8,6,2,4,2,73
60,-0.909,3,2,3,7,2,8,57
56,-0.909,2,4,5,5,2,4,57
54,1.267,2,6,4,7,5,8,50
36,-0.57,2,9,5,2,5,2,48
51,0.712,2,6,6,4,4,1,54
41,0.242,2,3,4,6,3,8,26
71,-0.909,3,7,5,4,3,1,72
47,1.267,2,9,6,3,5,7,56
47,-0.188,2,2,3,8,2,8,60
62,0.242,1,6,5,5,3,8,73
42,-0.57,1,5,7,5,3,2,65
37,-0.188,5,4,1,4,3,1,45
85,1.267,1,9,7,6,5,8,95
54,-0.188,4,4,3,2,2,8,26
28,-0.188,3,8,3,4,3,3,45
57,-0.909,3,1,4,2,3,5,64
58,0.242,2,8,5,2,4,2,67
41,-0.909,1,1,1,5,2,6,33
48,-0.188,2,2,5,6,3,8,58
44,0.242,1,3,6,8,5,8,70
37,-0.909,2,6,4,2,5,2,50
51,0.712,5,5,1,3,3,2,38
42,-1.215,2,7,6,5,3,2,86
57,-0.909,2,7,6,6,4,5,62
60,0.712,2,9,6,8,4,8,59
27,-0.57,3,5,3,6,2,3,22
66,0.242,1,7,7,8,5,8,72
55,0.712,2,9,6,6,5,2,80
55,0.242,1,2,4,2,3,2,48
57,0.242,2,7,7,7,5,8,73
38,-0.57,1,1,2,4,2,6,29
35,0.712,2,6,4,7,1,8,65
61,0.242,2,7,4,4,4,2,60
23,-0.909,2,8,5,4,3,2,51
41,0.242,2,3,4,4,2,6,32
60,1.267,2,6,6,5,4,2,68
47,1.267,2,4,4,8,4,8,51
30,-0.188,2,5,4,1,3,5,40
59,1.267,2,9,6,3,5,2,64
51,0.242,1,2,5,2,3,2,56
57,0.242,2,8,7,3,5,2,55
58,0.242,5,8,5,3,4,2,64
52,-0.57,2,5,6,5,2,2,76
31,-1.485,2,1,1,6,3,8,46
75,1.267,1,6,7,8,2,8,95
49,-1.713,4,1,2,4,2,7,66
49,0.242,2,8,5,7,5,8,64
41,-0.909,1,3,3,5,2,8,59
50,0.712,4,9,6,4,3,2,57
53,0.242,2,6,5,5,2,2,63
36,-1.713,2,9,6,2,5,2,56
57,-0.909,2,6,4,8,5,8,57
57,1.267,1,3,5,8,2,8,75
37,0.242,1,3,3,8,3,8,47
50,0.712,5,9,6,4,4,2,72
44,0.712,2,7,4,5,2,2,48
53,0.712,4,9,6,3,4,2,60
58,-0.57,2,4,4,3,1,7,43
17,-0.57,2,2,4,8,3,6,36
48,-1.485,1,7,4,2,4,3,41
10,-0.57,2,1,1,3,2,7,25
53,-1.9,5,5,1,3,2,2,44
53,0.242,1,3,5,8,2,8,64
68,-0.57,1,1,6,7,1,4,59
37,-0.57,1,4,3,6,5,8,47
45,-0.188,4,9,7,6,3,8,81
38,0.242,4,8,7,5,2,7,54
55,1.267,1,7,7,6,4,8,59
48,0.242,3,5,7,8,2,8,70
55,0.242,2,6,6,8,3,8,60
70,-0.188,3,9,7,5,2,3,65
68,0.712,3,5,4,2,4,2,52
50,0.242,1,3,4,8,2,3,47
50,1.267,3,9,6,2,4,4,74
79,-0.909,4,6,5,1,3,3,26
52,0.242,1,4,5,7,3,8,60
57,1.267,2,8,7,6,3,8,65
40,0.242,5,8,4,4,3,4,45
57,0.242,3,9,7,3,5,2,67
63,0.242,2,8,5,2,4,2,66
42,-1.215,4,2,5,3,2,7,47
60,-1.9,4,1,1,4,1,6,66
27,0.712,2,2,4,8,2,8,38
42,-0.909,3,4,2,3,3,3,50
55,0.712,1,6,5,2,5,2,58
40,-0.188,4,1,2,4,3,7,42
51,0.242,2,6,6,8,5,8,64
55,0.242,1,4,4,6,3,2,61
58,1.267,2,8,7,4,3,2,71
46,-0.909,2,2,7,8,2,8,80
45,0.712,1,8,6,5,5,2,58
58,0.712,2,9,7,6,4,6,65
42,-0.57,2,7,4,4,2,2,53
42,-0.188,4,4,2,4,2,2,37
36,-0.909,3,6,3,2,2,2,34
41,0.242,3,3,5,7,2,8,55
64,1.267,5,8,6,3,5,4,78
42,-0.57,1,4,3,2,3,2,35
70,1.267,5,8,5,3,4,3,73
64,1.267,2,9,6,7,5,3,95
45,-0.909,4,8,6,3,2,2,55
55,-0.909,4,7,4,3,2,2,71
56,0.712,3,9,4,6,3,8,69
61,0.712,2,9,5,3,5,2,72
72,0.712,4,8,7,3,4,2,72
50,0.712,4,9,7,3,5,2,56
41,0.712,2,8,5,2,4,2,67
60,0.242,4,5,5,2,2,2,73
62,1.267,1,8,6,4,3,1,71
62,0.712,1,6,5,6,3,8,95
54,0.242,2,2,6,6,2,8,70
33,-1.215,2,4,3,2,5,2,37
61,0.242,4,7,5,3,4,2,49
41,1.267,4,9,5,3,4,2,31
66,-0.188,4,8,6,4,3,7,37
55,-0.57,2,4,2,2,2,2,61
44,-0.57,3,6,5,4,2,2,59
52,-0.57,2,7,4,2,5,2,53
36,0.242,1,2,1,5,4,2,39
37,-0.57,5,1,1,1,2,2,54
57,1.267,2,8,6,7,4,2,73
55,-0.909,5,2,5,1,3,5,50
61,-0.57,1,4,5,1,4,2,62
49,1.267,2,5,5,8,4,8,67
59,0.712,4,9,5,5,4,2,64
57,0.712,2,9,7,4,4,8,62
53,1.267,1,5,4,5,5,2,54
57,1.267,5,8,5,4,4,2,65
32,-0.188,2,7,4,1,4,2,46
50,0.712,2,9,5,8,4,8,51
37,0.712,2,8,6,2,5,2,47
51,-0.188,3,7,7,7,2,8,57
85,1.267,2,9,7,8,5,1,95
56,1.267,2,9,4,5,5,2,70
53,0.242,2,3,5,8,4,8,59
51,0.242,2,7,6,4,3,2,60
57,0.712,4,8,3,4,3,2,59
62,0.242,4,8,5,4,3,3,73
39,0.242,1,4,3,3,4,7,39
81,-0.188,4,6,7,4,4,2,73
63,1.267,2,8,7,5,4,2,77
46,-0.57,2,1,2,5,1,6,37
67,0.242,2,7,5,2,4,7,60
54,0.712,4,4,4,2,4,2,48
41,-0.188,5,3,3,2,1,2,43
42,-1.215,3,2,1,2,1,7,29
35,-0.188,4,7,3,4,3,2,58
51,0.242,3,7,1,2,2,5,57
82,0.242,2,7,5,6,3,8,80
45,-1.215,2,7,7,6,2,8,62
58,-0.188,4,2,5,2,3,6,49
49,-0.188,2,9,7,3,5,4,63
50,-0.188,2,7,4,6,3,8,47
69,-1.485,1,1,3,4,3,2,41
58,-0.188,1,3,6,6,3,3,67
42,-0.188,3,7,4,4,2,2,57
59,0.242,4,9,6,4,3,3,67
85,1.267,3,8,5,5,4,8,72
51,-0.57,1,6,5,7,2,8,54
47,-0.188,2,8,3,3,5,2,48
36,0.712,1,4,3,4,2,1,45
58,0.712,2,1,5,6,2,8,59
19,-1.215,2,2,3,7,2,8,49
57,1.267,2,9,7,6,5,2,75
51,-0.57,1,3,4,6,2,8,48
49,0.242,2,4,6,8,3,8,95
52,0.712,4,7,7,5,3,2,79
64,0.242,2,8,7,8,5,1,72
55,-0.57,2,9,4,1,4,3,53
51,-0.188,2,8,7,6,5,8,73
51,0.242,3,9,5,2,5,3,64
49,-0.57,1,1,7,6,3,8,63
45,0.712,1,9,7,6,5,2,61
48,0.242,2,7,6,2,4,2,51
32,-0.188,1,1,3,6,2,8,35
40,0.242,2,9,5,3,1,1,59
50,0.712,1,5,5,3,3,2,69
67,0.712,4,7,3,4,4,2,44
58,-1.485,3,7,3,3,3,2,61
55,0.712,2,7,5,6,4,2,63
43,0.242,3,6,5,6,2,8,54
52,-0.57,4,9,5,3,3,4,64
52,-0.57,5,6,4,5,1,6,54
47,-0.188,5,8,4,1,2,3,53
39,-0.57,2,5,4,4,1,2,29
33,-0.909,2,1,1,5,2,2,38
44,-0.909,1,3,2,3,3,2,42
57,1.267,2,3,4,6,4,8,61
54,0.712,2,9,6,5,5,2,53
43,-0.188,2,9,5,3,4,2,57
41,-0.188,2,3,6,8,4,8,47
65,1.267,2,8,7,6,5,8,68
65,0.712,3,9,7,3,4,2,75
49,0.712,1,4,5,4,2,1,58
58,0.712,2,8,6,6,5,8,67
37,-0.57,1,3,3,8,5,3,43
33,-1.215,4,5,4,4,2,2,41
30,-0.909,4,1,1,2,1,6,39
55,-1.485,1,1,6,8,2,8,47
49,0.242,1,1,4,6,3,8,47
46,-0.188,4,8,7,3,5,3,59
57,1.267,2,8,5,8,4,8,85
45,-0.57,3,3,4,3,4,2,49
48,0.712,2,8,5,7,5,8,68
47,-0.188,4,7,6,3,4,2,34
54,-0.57,2,2,5,8,1,8,62
53,-0.188,5,3,1,3,1,4,57
38,1.267,1,6,4,4,5,2,46
42,0.712,2,8,5,4,4,2,60
29,-0.57,5,8,4,1,2,5,47
69,1.267,2,9,7,3,4,2,69
55,-0.188,3,4,2,1,2,5,54
16,0.712,3,6,2,4,3,6,21
74,1.267,2,4,6,5,5,8,64
43,-0.57,2,5,4,6,4,3,50
24,-0.909,3,2,1,3,2,7,30
44,1.267,4,6,4,4,2,2,53
48,-1.485,5,1,1,2,2,1,49
38,0.242,2,2,4,8,2,8,56
60,0.712,1,1,5,8,2,8,51
70,0.712,2,9,5,5,5,2,74
61,0.712,2,6,7,4,2,4,79
41,0.712,3,6,4,7,2,8,37
42,-0.188,3,5,3,3,5,2,44
31,0.242,4,5,1,4,2,7,53
51,-0.57,4,2,1,2,2,2,24
37,0.242,2,3,1,7,3,8,52
57,-1.485,1,6,5,3,2,1,27
64,1.267,1,5,7,7,5,8,89
44,-0.188,2,6,4,6,1,2,53
34,0.242,2,2,1,2,3,2,46
45,0.242,2,5,5,5,3,2,47
51,0.712,2,6,7,6,3,8,69
47,-0.188,3,6,4,3,3,2,59
20,-0.57,1,2,1,2,3,3,29
56,-0.188,2,8,7,6,3,2,70
75,-0.57,2,2,4,5,3,1,48
56,-0.188,4,6,5,4,2,6,53
41,0.242,2,3,3,4,3,1,37
35,-0.909,3,1,3,5,3,6,38
85,1.267,1,7,6,8,2,8,95
54,0.712,2,7,5,4,3,2,59
45,-0.57,5,7,5,2,5,2,61
67,-0.57,2,6,5,2,4,2,60
56,-0.188,2,3,4,2,3,2,55
57,1.267,2,3,7,6,5,8,65
48,1.267,1,5,7,6,3,8,70
46,-0.909,2,2,3,2,3,2,59
42,-0.57,2,7,4,4,4,8,48
42,0.242,3,7,4,5,3,2,44
65,0.242,2,9,7,3,5,2,56
57,1.267,2,9,7,8,3,8,81
36,-0.188,3,3,7,7,5,8,73
18,-0.188,4,1,1,5,1,6,31
76,0.712,1,9,7,4,5,2,64
85,-0.57,2,9,6,3,4,2,74
61,0.712,2,9,7,3,5,2,83
48,0.242,2,5,6,8,3,4,60
46,0.712,3,8,7,3,4,2,73
66,1.267,2,8,7,8,4,8,79
56,1.267,2,8,5,5,5,8,47
44,-0.57,2,4,2,4,2,2,37
49,1.267,2,8,7,8,3,8,76
58,-0.909,3,6,7,4,2,3,59
40,0.712,2,5,7,7,2,8,79
70,-0.188,4,9,4,4,5,2,74
47,0.712,2,3,7,6,2,8,54
48,0.712,3,9,7,5,5,2,70
55,0.712,2,7,6,4,4,2,58
49,-1.485,4,2,4,4,2,4,54
45,-0.188,2,6,7,7,3,8,56
42,0.242,2,4,5,4,2,4,54
59,0.712,2,6,6,6,4,8,80
42,-1.713,4,8,6,1,4,2,47
47,0.242,4,9,7,5,5,2,53
56,0.242,3,9,5,2,5,2,44
56,0.712,4,7,4,5,5,2,59
34,0.712,2,7,4,4,4,2,29
22,-0.909,2,2,3,8,3,8,41
59,0.712,3,8,7,4,5,2,69
31,-1.215,2,1,1,3,2,1,36
57,0.712,2,9,6,6,3,2,80
